index,Ikz2_0,Ikz2_995,Ikz2_4844,Ikz2_8757,Ikz2_12635,Ikz2_16102,Ikz2_19470,Uobr_0,Uobr_995,Uobr_4844,Uobr_8757,Uobr_12635,Uobr_16102,Uobr_19470,Uzp_0,Uzp_995,Uzp_4844,Uzp_8757,Uzp_12635,Uzp_16102,Uzp_19470,Iutz1_0,Iutz1_995,Iutz1_4844,Iutz1_8757,Iutz1_12635,Iutz1_16102,Iutz1_19470,Iutz2_0,Iutz2_995,Iutz2_4844,Iutz2_8757,Iutz2_12635,Iutz2_16102,Iutz2_19470,Usi_0,Usi_995,Usi_4844,Usi_8757,Usi_12635,Usi_16102,Usi_19470,Rsi_0,Rsi_995,Rsi_4844,Rsi_8757,Rsi_12635,Rsi_16102,Rsi_19470,Is_0,Is_995,Is_4844,Is_8757,Is_12635,Is_16102,Is_19470
28,1.830,1.825,1.820,1.805,1.800,1.795,1.790,0.696,0.694,0.692,0.691,0.691,0.690,0.689,2.808,2.746,2.764,2.597,2.599,2.538,2.529,20.850,20.785,20.380,18.365,16.350,13.310,13.225,24.330,18.850,18.220,18.200,18.168,18.135,17.410,3.680,3.700,3.710,3.730,3.760,3.700,3.650,492.300,492.578,492.855,495.809,498.763,493.073,488.220,6.384,6.320,6.319,6.318,6.317,6.316,6.260
29,1.825,1.825,1.825,1.810,1.800,1.800,1.795,0.699,0.699,0.698,0.697,0.697,0.698,0.696,3.283,3.255,3.239,3.186,3.179,3.173,3.179,22.370,22.175,20.410,17.445,14.480,12.485,12.465,20.750,18.545,18.155,18.210,16.515,15.523,14.530,3.740,3.760,3.770,3.790,3.810,3.750,3.700,505.100,498.841,492.582,495.000,497.418,504.091,499.750,6.200,6.172,6.170,6.168,6.166,6.164,6.160
30,1.830,1.830,1.820,1.810,1.810,1.805,1.800,0.697,0.695,0.695,0.694,0.693,0.694,0.692,2.843,2.760,2.676,2.588,2.588,2.547,2.538,18.200,19.070,17.455,15.840,13.430,12.775,12.735,19.790,19.360,18.930,18.660,18.638,18.615,14.085,3.800,3.820,3.820,3.850,3.870,3.800,3.760,508.400,500.282,492.164,494.909,497.654,508.346,503.010,6.184,6.116,6.116,6.116,6.116,6.116,6.140
32,1.830,1.830,1.825,1.810,1.810,1.805,1.800,0.700,0.699,0.698,0.696,0.696,0.696,0.694,2.887,2.825,2.843,2.692,2.678,2.615,2.623,21.230,20.440,15.670,15.518,15.365,15.360,15.225,21.310,19.465,19.045,18.440,17.835,17.590,17.000,3.980,4.000,3.970,4.010,4.050,3.970,3.950,508.200,508.455,510.073,515.373,520.672,512.473,510.730,6.148,6.140,6.134,6.128,6.122,6.116,6.040
33,1.825,1.825,1.825,1.810,1.805,1.805,1.805,0.690,0.689,0.679,0.668,0.666,0.660,0.659,2.456,2.420,2.352,1.984,1.955,1.808,1.753,19.920,19.005,18.155,18.650,17.595,16.215,15.855,21.010,17.765,17.365,16.965,16.580,15.070,13.560,3.600,3.610,3.620,3.640,3.670,3.590,3.590,490.149,489.982,489.564,490.900,492.236,482.255,483.810,6.720,6.460,6.455,6.450,6.445,6.440,6.380
34,1.825,1.825,1.820,1.810,1.805,1.805,1.800,0.696,0.692,0.687,0.681,0.676,0.672,0.682,2.597,2.447,2.264,2.081,2.058,1.925,1.878,18.090,20.300,16.975,15.940,15.535,14.795,14.840,20.040,19.180,18.320,18.000,17.298,16.595,15.500,3.940,3.960,3.980,3.990,3.990,3.910,3.940,508.700,508.309,516.300,518.305,520.309,526.728,517.950,6.052,6.040,6.043,6.046,6.049,6.052,5.910
35,1.830,1.830,1.825,1.810,1.805,1.805,1.805,0.698,0.696,0.690,0.684,0.682,0.680,0.685,2.676,2.605,2.483,2.254,2.184,2.114,2.104,17.870,19.745,18.285,18.000,17.715,16.850,15.985,19.230,18.925,18.868,18.810,17.845,16.880,14.510,3.900,3.910,3.920,3.950,3.990,3.920,3.930,508.500,507.618,510.364,515.128,519.891,526.673,517.820,6.088,6.076,6.067,6.058,6.049,6.040,5.920
36,1.830,1.830,1.825,1.810,1.805,1.805,1.800,0.699,0.697,0.692,0.692,0.690,0.688,0.691,2.799,2.728,2.703,2.472,2.456,2.318,2.256,20.690,20.080,19.650,17.745,15.840,15.555,15.270,24.220,21.430,18.640,17.710,17.310,14.260,13.770,4.000,4.000,4.010,4.030,4.040,3.960,3.970,508.300,506.018,509.528,513.891,518.254,508.382,512.610,6.156,6.152,6.155,6.158,6.161,6.164,6.030
37,1.825,1.825,1.825,1.810,1.800,1.800,1.795,0.699,0.698,0.695,0.691,0.690,0.690,0.691,2.817,2.737,2.711,2.500,2.480,2.397,2.339,21.640,20.600,19.560,17.220,14.880,14.733,14.585,21.180,19.818,18.455,17.185,15.620,14.055,13.860,3.960,3.980,3.940,3.980,4.020,3.940,3.930,509.200,507.091,513.346,516.664,519.982,527.128,518.060,6.020,5.984,5.991,5.998,6.005,6.012,5.920
38,1.825,1.825,1.825,1.810,1.805,1.805,1.800,0.687,0.687,0.686,0.685,0.683,0.684,0.684,2.773,2.737,2.714,2.606,2.599,2.547,2.553,20.370,19.915,19.670,14.385,14.110,13.835,13.075,20.270,18.910,18.640,16.795,14.950,12.293,9.635,3.490,3.530,3.550,3.560,3.570,3.490,3.510,457.800,464.200,467.200,461.250,455.300,457.346,459.900,6.840,6.752,6.765,6.778,6.791,6.804,6.670
39,1.830,1.830,1.825,1.810,1.805,1.805,1.800,0.688,0.687,0.686,0.685,0.685,0.686,0.685,2.775,2.754,2.746,2.676,2.678,2.661,2.672,20.320,20.083,19.845,14.655,13.425,12.365,12.005,19.940,18.670,18.365,17.195,16.940,16.310,15.680,3.510,3.540,3.550,3.560,3.570,3.500,3.490,461.100,464.364,466.346,460.873,455.400,457.764,457.660,6.784,6.780,6.777,6.774,6.771,6.768,6.720
40,1.825,1.825,1.825,1.810,1.805,1.805,1.800,0.702,0.698,0.697,0.696,0.696,0.697,0.696,2.903,2.851,2.843,2.722,2.717,2.685,2.703,18.880,18.995,17.253,15.510,12.980,12.475,11.970,23.790,19.040,18.080,17.860,17.640,14.325,11.010,4.000,4.020,4.020,4.050,4.070,3.990,3.980,509.200,509.610,510.019,514.701,519.382,526.600,517.920,6.000,6.044,6.029,6.014,5.999,5.984,5.930
41,1.830,1.830,1.825,1.810,1.805,1.805,1.805,0.703,0.702,0.701,0.700,0.700,0.701,0.699,2.993,2.913,2.878,2.782,2.770,2.731,2.749,20.400,20.245,20.130,16.095,14.245,13.490,12.905,19.700,19.235,18.770,17.735,16.700,14.715,13.035,4.220,4.230,4.250,4.280,4.300,4.210,4.200,510.600,511.219,511.837,516.528,521.218,528.218,519.390,5.848,5.848,5.844,5.840,5.836,5.832,5.740
42,1.830,1.830,1.825,1.810,1.805,1.800,1.800,0.690,0.687,0.681,0.672,0.663,0.660,0.660,2.412,2.280,2.014,1.956,1.832,1.828,1.824,18.510,19.345,18.205,17.065,15.475,14.495,13.665,20.350,20.055,19.135,17.110,16.210,15.310,14.030,3.890,3.910,3.910,3.940,3.970,3.890,3.870,508.300,508.541,508.782,513.437,518.091,513.128,511.880,6.164,6.124,6.133,6.142,6.151,6.160,6.040
43,1.825,1.825,1.825,1.815,1.810,1.805,1.800,0.700,0.699,0.699,0.698,0.699,0.699,0.699,2.913,2.895,2.905,2.894,2.895,2.898,2.898,21.240,19.045,17.233,15.420,15.380,14.615,14.565,22.630,18.535,18.130,17.725,15.193,12.660,12.320,3.910,3.930,3.940,3.990,4.050,3.960,3.980,508.600,509.100,509.600,514.773,519.945,527.291,518.610,6.060,6.072,6.037,6.002,5.967,5.932,5.830
44,1.830,1.830,1.825,1.810,1.805,1.800,1.800,0.698,0.697,0.692,0.692,0.693,0.693,0.692,2.913,2.807,2.711,2.615,2.623,2.589,2.555,20.840,20.770,20.050,15.305,14.268,13.230,12.760,19.900,18.500,18.000,17.725,16.245,14.765,11.705,3.820,3.820,3.840,3.870,3.900,3.810,3.800,508.400,508.419,508.437,513.000,517.563,507.600,507.520,6.188,6.176,6.176,6.176,6.176,6.176,6.100
45,1.830,1.825,1.820,1.805,1.805,1.805,1.805,0.695,0.693,0.687,0.682,0.682,0.682,0.682,2.738,2.561,2.383,2.204,2.179,2.153,2.141,19.860,19.710,18.838,17.965,17.525,15.665,13.205,21.970,18.810,17.840,16.158,14.475,12.888,11.300,3.790,3.820,3.820,3.840,3.860,3.770,3.760,505.500,507.123,508.746,511.691,514.636,500.437,499.330,6.288,6.228,6.235,6.242,6.249,6.256,6.170
47,1.830,1.830,1.825,1.810,1.805,1.805,1.805,0.698,0.698,0.698,0.697,0.696,0.696,0.696,3.133,3.115,3.107,3.081,3.071,3.072,3.074,20.970,20.595,20.015,14.160,12.855,12.650,12.620,20.010,19.295,18.580,16.850,14.240,12.730,10.205,3.750,3.790,3.780,3.810,3.830,3.760,3.760,506.200,507.346,508.491,512.846,517.200,505.800,507.700,6.240,6.204,6.208,6.212,6.216,6.220,6.100
48,1.825,1.825,1.825,1.810,1.805,1.805,1.800,0.700,0.701,0.699,0.698,0.699,0.698,0.698,3.397,3.387,3.379,3.362,3.359,3.355,3.355,19.470,19.700,19.930,15.690,15.065,13.710,13.050,21.180,18.995,17.800,17.243,16.685,14.935,14.500,3.850,3.870,3.880,3.910,3.940,3.830,3.810,508.100,508.241,508.382,513.109,517.836,515.873,512.610,6.168,6.096,6.108,6.120,6.132,6.144,6.040
49,1.830,1.830,1.825,1.810,1.810,1.810,1.805,0.699,0.697,0.696,0.696,0.695,0.694,0.693,2.985,2.923,2.861,2.755,2.746,2.729,2.711,22.650,22.590,20.110,18.618,17.125,16.455,13.620,20.470,20.220,19.180,16.285,14.830,14.568,14.305,3.840,3.860,3.870,3.890,3.910,3.830,3.810,508.400,508.191,507.982,512.646,517.309,509.109,507.820,6.180,6.164,6.162,6.160,6.158,6.156,6.090
50,1.830,1.830,1.825,1.810,1.805,1.805,1.800,0.700,0.698,0.697,0.696,0.696,0.696,0.695,2.949,2.927,2.905,2.810,2.807,2.775,2.782,19.950,19.870,19.090,14.260,14.260,14.050,13.135,20.140,19.130,17.600,16.000,15.000,14.000,12.230,3.870,3.890,3.890,3.910,3.930,3.850,3.830,501.100,503.487,505.873,507.073,508.273,497.800,497.020,6.320,6.296,6.305,6.314,6.323,6.332,6.230
